,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
0,0xDB5D3FF6B7FE584CAE62A6C482194282E627EE8F9BBB37D0BBA43B012950E3D0,3,2,2,12,0,0,0,0,0,0,11,0,0,0,0,1,0,0,10,2,0,H,1641.5,2000,55712.85,94060,1
1,0x1879388A362A9CE3DB27F651C333F9BF4B66460538CFD835F4F77E45604CFD4F,4,3,2,6,0,0,0,0,8,0,4,0,0,0,6,0,4,6,14,0,0,H,4071.42857142857,2000,175290.714285714,34200,1
2,0x78D069BCC23EAD3DF21154E5C04838C7F942ACD422BBD1D902A0065A68B90238,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,H,846.833333333333,26,15386.045,2005.38,1
3,0x2E5D5882D3FA49E0B552A4C481F43307F854246B918BFF2399EAA997A6211BFB,3,0,2,32,0,0,0,0,0,0,4,2,2,5,0,2,17,5,31,1,0,H,1875,1000,84634.375,230000,1
4,0x6711C00180B590285AB040EAAB3EB9D1F7704BA2B4CE2A89603694CD92EC6D3E,2,0,2,8,0,0,0,0,0,0,6,0,0,2,0,0,0,3,6,2,0,O,26.875,30,3972.9,7758,1
5,0xA785349AB772B18D0DBEE3B70700A15DC00B87C5334DF7A374ADAAF4C3E4ECBE,4,4,2,72,0,0,0,0,154,0,181,18,9,2,2,14,0,1,176,50,0,H,4164.4203539823,4000,210978.117300885,178800,1
6,0x650750E6721E49A28D14A4867D596A09E50C16B4F72E87A90866AAA5C8B505B2,4,3,2,28,0,0,0,0,38,A,42,2,0,0,22,0,0,4,66,0,0,H,6151.51515151515,69000,401412.424242424,3049800,1
7,0xF7C007084CFF01A5F8495345C8EED70159EAAB65914438750A657575CB3FD874,4,0,2,0,0,0,0,0,20,A,12,8,0,0,0,0,0,0,12,8,0,O,23300,60000,1926704,1894800,1
8,0xE5306FC17C179056A5C4E810424B9FA434EFA5F4B951E23DD736875F724F88DF,4,0,2,292,0,0,0,0,0,0,244,22,26,0,0,0,0,0,292,0,0,H,1595.8904109589,4000,36935.7534246575,209920,1
9,0x828358417FE748E5AA8D76AF8C547B45F02A34D65394BBC4B94703658AE39374,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,1
10,0x1F316A19F5B7B7AD9E47F8524583BE6A9F29B642E77C2C7F2DB6F46DB2398B18,5,3,2,2,0,0,0,0,8,0,0,0,0,0,0,0,10,6,10,0,0,H,64000,40000,2710760,4348000,1
11,0xBD55F72678E9ACF743E7667648429430825AA39C32A4FBDDA7DBBA57D7E20969,1,0,2,43,0,0,0,0,0,0,21,6,2,0,0,12,2,6,20,23,0,H,1302.32558139535,1000,14154.4186046512,32430,1
12,0x34B62C159A5FADD0AFEB9EF6575391297F71370158E27F1E65F7A9C31A8B3842,4,4,2,88,0,0,0,0,2,0,18,15,7,1,0,0,49,6,81,9,0,H,3523.44444444444,10000,27208.2555555556,33800,1
